bookName,authorPublisher,price,ratings,class
"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",Repro Books Limited,5511,5,JEE
Pathfinder for Olympiad and JEE (Advanced) Physics,Pearson Education India Pvt. Ltd.,655,4,JEE
"TARGET NTA JEE Main 2023 - 10 Previous Year Solved Papers with 10 Mock Tests 24th Edition Physics, Chemistry, Mathematics - PCM Optional Questions Numeric Value Questions NVQs 100% Solutions",Repro Books Limited,3073,3,JEE
"Super 10 Mock Tests for NTA JEE Main 2023 with Optional Questions - 6th Edition Physics, Chemistry, Mathematics - PCM Numeric Value Questions NVQs Mock Tests 100% Solutions Improve your Speed, Strike Rate & Score",Repro Books Limited,2013,2,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2021) + Jee Main (2013 - 2022) Physics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9996,3,JEE
JEE Main Chapterwise Physics,Arihant Publications,7419,3,JEE
A Guidebook to Mechanism in Organic Chemistry for the JEE,Pearson Education,535,1,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,Repro Books Limited,9751,1,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2,Arihant Publications,9751,2,JEE
"Wiley'S Solomons, Fryhle & Snyder Organic Chemistry For Jee (Main & Advanced), 3Ed, 2023",Wiley'S,939,5,JEE
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",Disha Publication,3276,4,JEE
Disha 120 JEE Main Physics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Year Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Disha Publication,5544,3,JEE
21Years Chapterwise Topicwise (2022-2002) JEE Main Solved Papers Mathematics,Repro Books Limited,7949,5,JEE
JEE Main Chapterwise Physics,Repro Books Limited,8373,5,JEE
Disha 120 JEE Main Mathematics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Years Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Repro Books Limited,5880,3,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,5,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2022) + Jee Main (2013 - 2022) Mathematics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9912,3,JEE
Problems and Solutions in Physical Chemistry | For JEE Main and Advanced | Second Edition | By Pearson,Pearson Education,640,5,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,Repro Books Limited,9751,5,JEE
JEE Main Chapterwise Mathematics,Arihant Publications,6677,2,JEE
"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",Repro Books Limited,5511,5,JEE
Pathfinder for Olympiad and JEE (Advanced) Physics,Pearson Education India Pvt. Ltd.,655,4,JEE
"TARGET NTA JEE Main 2023 - 10 Previous Year Solved Papers with 10 Mock Tests 24th Edition Physics, Chemistry, Mathematics - PCM Optional Questions Numeric Value Questions NVQs 100% Solutions",Repro Books Limited,3073,5,JEE
"Super 10 Mock Tests for NTA JEE Main 2023 with Optional Questions - 6th Edition Physics, Chemistry, Mathematics - PCM Numeric Value Questions NVQs Mock Tests 100% Solutions Improve your Speed, Strike Rate & Score",Repro Books Limited,2013,5,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2021) + Jee Main (2013 - 2022) Physics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9996,4,JEE
JEE Main Chapterwise Physics,Arihant Publications,7419,5,JEE
A Guidebook to Mechanism in Organic Chemistry for the JEE,Pearson Education,535,4,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,Repro Books Limited,9751,4,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2,Arihant Publications,9751,3,JEE
"Wiley'S Solomons, Fryhle & Snyder Organic Chemistry For Jee (Main & Advanced), 3Ed, 2023",Wiley'S,939,1,JEE
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",Disha Publication,3276,4,JEE
Disha 120 JEE Main Physics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Year Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Disha Publication,5544,4,JEE
21Years Chapterwise Topicwise (2022-2002) JEE Main Solved Papers Mathematics,Repro Books Limited,7949,3,JEE
JEE Main Chapterwise Physics,Repro Books Limited,8373,5,JEE
Disha 120 JEE Main Mathematics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Years Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Repro Books Limited,5880,5,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,1,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2022) + Jee Main (2013 - 2022) Mathematics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9912,2,JEE
Problems and Solutions in Physical Chemistry | For JEE Main and Advanced | Second Edition | By Pearson,Pearson Education,640,4,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,Repro Books Limited,9751,3,JEE
JEE Main Chapterwise Mathematics,Arihant Publications,6677,5,JEE
"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",Repro Books Limited,5511,1,JEE
Pathfinder for Olympiad and JEE (Advanced) Physics,Pearson Education India Pvt. Ltd.,655,5,JEE
"TARGET NTA JEE Main 2023 - 10 Previous Year Solved Papers with 10 Mock Tests 24th Edition Physics, Chemistry, Mathematics - PCM Optional Questions Numeric Value Questions NVQs 100% Solutions",Repro Books Limited,3073,4,JEE
"Super 10 Mock Tests for NTA JEE Main 2023 with Optional Questions - 6th Edition Physics, Chemistry, Mathematics - PCM Numeric Value Questions NVQs Mock Tests 100% Solutions Improve your Speed, Strike Rate & Score",Repro Books Limited,2013,1,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2021) + Jee Main (2013 - 2022) Physics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9996,3,JEE
JEE Main Chapterwise Physics,Arihant Publications,7419,3,JEE
A Guidebook to Mechanism in Organic Chemistry for the JEE,Pearson Education,535,1,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,Repro Books Limited,9751,5,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2,Arihant Publications,9751,2,JEE
"Wiley'S Solomons, Fryhle & Snyder Organic Chemistry For Jee (Main & Advanced), 3Ed, 2023",Wiley'S,939,2,JEE
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",Disha Publication,3276,2,JEE
Disha 120 JEE Main Physics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Year Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Disha Publication,5544,1,JEE
21Years Chapterwise Topicwise (2022-2002) JEE Main Solved Papers Mathematics,Repro Books Limited,7949,2,JEE
JEE Main Chapterwise Physics,Repro Books Limited,8373,5,JEE
Disha 120 JEE Main Mathematics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Years Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Repro Books Limited,5880,1,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,5,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2022) + Jee Main (2013 - 2022) Mathematics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9912,5,JEE
Problems and Solutions in Physical Chemistry | For JEE Main and Advanced | Second Edition | By Pearson,Pearson Education,640,2,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,Repro Books Limited,9751,2,JEE
JEE Main Chapterwise Mathematics,Arihant Publications,6677,5,JEE
"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",Repro Books Limited,5511,5,JEE
Pathfinder for Olympiad and JEE (Advanced) Physics,Pearson Education India Pvt. Ltd.,655,5,JEE
"TARGET NTA JEE Main 2023 - 10 Previous Year Solved Papers with 10 Mock Tests 24th Edition Physics, Chemistry, Mathematics - PCM Optional Questions Numeric Value Questions NVQs 100% Solutions",Repro Books Limited,3073,2,JEE
"Super 10 Mock Tests for NTA JEE Main 2023 with Optional Questions - 6th Edition Physics, Chemistry, Mathematics - PCM Numeric Value Questions NVQs Mock Tests 100% Solutions Improve your Speed, Strike Rate & Score",Repro Books Limited,2013,1,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2021) + Jee Main (2013 - 2022) Physics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9996,2,JEE
JEE Main Chapterwise Physics,Arihant Publications,7419,4,JEE
A Guidebook to Mechanism in Organic Chemistry for the JEE,Pearson Education,535,5,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,Repro Books Limited,9751,1,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2,Arihant Publications,9751,1,JEE
"Wiley'S Solomons, Fryhle & Snyder Organic Chemistry For Jee (Main & Advanced), 3Ed, 2023",Wiley'S,939,1,JEE
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",Disha Publication,3276,4,JEE
Disha 120 JEE Main Physics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Year Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Disha Publication,5544,4,JEE
21Years Chapterwise Topicwise (2022-2002) JEE Main Solved Papers Mathematics,Repro Books Limited,7949,4,JEE
JEE Main Chapterwise Physics,Repro Books Limited,8373,1,JEE
Disha 120 JEE Main Mathematics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Years Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Repro Books Limited,5880,5,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,4,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2022) + Jee Main (2013 - 2022) Mathematics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9912,4,JEE
Problems and Solutions in Physical Chemistry | For JEE Main and Advanced | Second Edition | By Pearson,Pearson Education,640,5,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,Repro Books Limited,9751,3,JEE
JEE Main Chapterwise Mathematics,Arihant Publications,6677,2,JEE
"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",Repro Books Limited,5511,3,JEE
Pathfinder for Olympiad and JEE (Advanced) Physics,Pearson Education India Pvt. Ltd.,655,4,JEE
"TARGET NTA JEE Main 2023 - 10 Previous Year Solved Papers with 10 Mock Tests 24th Edition Physics, Chemistry, Mathematics - PCM Optional Questions Numeric Value Questions NVQs 100% Solutions",Repro Books Limited,3073,5,JEE
"Super 10 Mock Tests for NTA JEE Main 2023 with Optional Questions - 6th Edition Physics, Chemistry, Mathematics - PCM Numeric Value Questions NVQs Mock Tests 100% Solutions Improve your Speed, Strike Rate & Score",Repro Books Limited,2013,1,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2021) + Jee Main (2013 - 2022) Physics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9996,2,JEE
JEE Main Chapterwise Physics,Arihant Publications,7419,2,JEE
A Guidebook to Mechanism in Organic Chemistry for the JEE,Pearson Education,535,5,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2 2023-24,Repro Books Limited,9751,1,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 2,Arihant Publications,9751,5,JEE
"Wiley'S Solomons, Fryhle & Snyder Organic Chemistry For Jee (Main & Advanced), 3Ed, 2023",Wiley'S,939,1,JEE
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",Disha Publication,3276,1,JEE
Disha 120 JEE Main Physics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Year Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Disha Publication,5544,1,JEE
21Years Chapterwise Topicwise (2022-2002) JEE Main Solved Papers Mathematics,Repro Books Limited,7949,2,JEE
JEE Main Chapterwise Physics,Repro Books Limited,8373,1,JEE
Disha 120 JEE Main Mathematics Online (2022 - 2012) & Offline (2018 - 2002) Chapter-wise + Topic-wise Previous Years Solved Papers 6th Edition NCERT Chapterwise PYQ Question Bank with 100% Detailed Solutions,Repro Books Limited,5880,1,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,2,JEE
Errorless 45 Previous Years Iit Jee Advanced (1978 - 2022) + Jee Main (2013 - 2022) Mathematics Chapterwise & Topicwise Solved Papers 18Th Edition Pyq ... With 100% Detailed Solutions For Jee 2023,Disha Publication,9912,3,JEE
Problems and Solutions in Physical Chemistry | For JEE Main and Advanced | Second Edition | By Pearson,Pearson Education,640,2,JEE
Understanding Physics JEE Main and Advanced Mechanics Volume 1 2023-24,Repro Books Limited,9751,3,JEE
JEE Main Chapterwise Mathematics,Arihant Publications,6677,1,JEE
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Repro India Limited,4704,5,JEE
Deep Learning,Mit Press,8650,4,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,1,ML
Machine Learning using Python,Wiley,649,4,ML
Probabilistic Machine Learning,Mit Press,10813,3,ML
Pattern Recognition and Machine Learning,Springer,7110,5,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,2,ML
Python Machine Learning,Packt Publishing,3899,3,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,2,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,3,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,3,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,5,ML
Probabilistic Machine Learning,Mit Press,12600,5,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,1,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,3,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,1,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,3,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,2,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,1,ML
Deep Learning,Mit Press,8650,5,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,4,ML
Machine Learning using Python,Wiley,649,4,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,3,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,1,ML
Python Machine Learning,Packt Publishing,3899,3,ML
Machine Learning,Oxford University Press,650,5,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,5,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,2,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,4,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,4,ML
Probabilistic Machine Learning,Mit Press,12600,1,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,1,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,4,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,5,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,3,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,1,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,5,ML
Deep Learning,Mit Press,8650,4,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,3,ML
Machine Learning using Python,Wiley,649,4,ML
Probabilistic Machine Learning,Mit Press,10813,3,ML
Pattern Recognition and Machine Learning,Springer,7110,2,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,3,ML
Python Machine Learning,Packt Publishing,3899,4,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,2,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,3,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,1,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,1,ML
Probabilistic Machine Learning,Mit Press,12600,5,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,4,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,1,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,5,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,2,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,2,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,5,ML
Deep Learning,Mit Press,8650,1,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,1,ML
Machine Learning using Python,Wiley,649,5,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,5,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,5,ML
Python Machine Learning,Packt Publishing,3899,3,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,2,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,2,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,3,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,3,ML
Probabilistic Machine Learning,Mit Press,12600,1,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,5,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,1,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,2,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,3,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,5,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,4,ML
Deep Learning,Mit Press,8650,2,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,2,ML
Mathematics for Machine Learning,Cambridge University Press,4200,1,ML
Machine Learning using Python,Wiley,649,5,ML
Probabilistic Machine Learning,Mit Press,10813,5,ML
Pattern Recognition and Machine Learning,Springer,7110,5,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,2,ML
Python Machine Learning,Packt Publishing,3899,2,ML
Machine Learning,Oxford University Press,650,5,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,2,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,3,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,4,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,1,ML
Probabilistic Machine Learning,Mit Press,12600,4,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,3,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,2,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,4,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,5,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,4,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,5,ML
Deep Learning,Mit Press,8650,3,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,5,ML
Machine Learning using Python,Wiley,649,5,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,3,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,2,ML
Python Machine Learning,Packt Publishing,3899,3,ML
Machine Learning,Oxford University Press,650,1,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,4,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,1,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,5,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,1,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,5,ML
Deep Learning,Mit Press,8650,1,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,1,ML
Mathematics for Machine Learning,Cambridge University Press,4200,5,ML
Machine Learning using Python,Wiley,649,5,ML
Probabilistic Machine Learning,Mit Press,10813,2,ML
Pattern Recognition and Machine Learning,Springer,7110,3,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,4,ML
Python Machine Learning,Packt Publishing,3899,1,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,1,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,2,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,4,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,1,ML
Probabilistic Machine Learning,Mit Press,12600,4,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,4,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,4,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,4,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,4,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,1,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,2,ML
Deep Learning,Mit Press,8650,4,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,2,ML
Mathematics for Machine Learning,Cambridge University Press,4200,3,ML
Machine Learning using Python,Wiley,649,4,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,5,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,3,ML
Python Machine Learning,Packt Publishing,3899,3,ML
Machine Learning,Oxford University Press,650,3,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,2,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,4,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,2,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,3,ML
Probabilistic Machine Learning,Mit Press,12600,5,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,5,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,2,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,5,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,2,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,5,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,5,ML
Deep Learning,Mit Press,8650,1,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,3,ML
Mathematics for Machine Learning,Cambridge University Press,4200,4,ML
Machine Learning using Python,Wiley,649,5,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,3,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,4,ML
Python Machine Learning,Packt Publishing,3899,1,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,3,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,1,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,3,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,4,ML
Probabilistic Machine Learning,Mit Press,12600,3,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,3,ML
Linear Algebra and Optimization for Machine Learning,Springer International Publishing,6636,5,ML
Machine Learning for Absolute Beginners,Scatterplot Press,1344,5,ML
Machine Learning with Python for Everyone by Pearson,Pearson Education,820,2,ML
"Big Data Analytics, Introduction to Hadoop, Spark, and Machine-Learning",McGraw Hill Education,860,5,ML
Machine Learning | First Edition | By Pearson,Pearson Education,685,2,ML
Deep Learning,Mit Press,8650,1,ML
Hundred-Page Machine Learning Book,Andriy Burkov,3356,4,ML
Mathematics for Machine Learning,Cambridge University Press,4200,2,ML
Machine Learning using Python,Wiley,649,3,ML
Probabilistic Machine Learning,Mit Press,10813,4,ML
Pattern Recognition and Machine Learning,Springer,7110,2,ML
"Reinforcement Learning, Second Edition",Bradford Book,8200,1,ML
Python Machine Learning,Packt Publishing,3899,4,ML
Machine Learning,Oxford University Press,650,4,ML
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing Limited,3899,5,ML
Machine Learning (in Python and R) for Dummies,Wiley,749,1,ML
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools",Ebury Publishing,849,3,ML
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras",BPB Publications,749,2,ML
Probabilistic Machine Learning,Mit Press,12600,5,ML
Machine Learning for Algorithmic Trading,Packt Publishing,4299,4,ML
Data Structures and Algorithms Made Easy in Java,CareerMonk Publications,750,2,JAVA
Programming with Java | 6th Edition,McGraw-Hill,750,3,JAVA
"Mastering HTML, CSS & Java Script Web Publishing",BPB Publications,540,4,JAVA
"Core Java: An Integrated Approach, New : Includes All Versions Upto Java 8",Wiley,749,5,JAVA
Java Concurrency in Practice,Pearson Education,705,5,JAVA
"Java: The Complete Reference, Twelfth Edition",McGraw-Hill Education,5127,2,JAVA
